Account,sentiment_class,total_pnl,avg_pnl,win_rate,avg_leverage,avg_trade_size,trade_count,profit_factor
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,31192.591971,21.661522202083333,0.925,12.51736111111111,487.9955,1440,12.084837933761285
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,5505.749364,12.456446524886879,0.9366515837104072,12.395927601809955,700.6140497737556,442,6.364391202452754
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,11415.247787,148.24997125974025,1.0,8.480519480519481,1875.8124675324675,77,inf
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,90895.05041,104.35711872560275,0.8277841561423651,9.808266360505167,2945.1902411021815,871,22.864562889219645
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,3979.190772,14.903336224719101,0.6179775280898876,11.48314606741573,1102.046928838951,267,2.521615053121168
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,20075.672949,120.21361047305389,0.8203592814371258,8.431137724550899,3121.283053892216,167,72.50443948079582
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,42292.843076,62.3788245958702,0.8613569321533924,10.327433628318584,2422.6981415929204,678,9.409516890455256
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,-56967.825773000004,-304.64077953475936,0.15508021390374332,9.171122994652407,1634.6883422459891,187,0.14552565326930003
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,30992.181771,397.3356637307692,0.9487179487179487,13.58974358974359,1299.6870512820512,78,6.1809457753887465
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,-467.058896,-2.4199942797927463,0.9015544041450777,11.471502590673575,1389.3191191709843,193,0.8687980835523975
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,-3531.989984,-43.60481461728395,0.9135802469135802,11.395061728395062,1282.4901234567901,81,0.016003283776854126
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,-1228.907104,-39.64216464516129,0.6451612903225806,10.03225806451613,1285.764193548387,31,0.5040869536148482
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,-76179.494853,-72.07142370198675,0.4768211920529801,10.424787133396405,3150.1555439924314,1057,0.6339561307480689
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,14406.384865,225.099763515625,0.890625,8.65625,3032.97328125,64,6.15622274508807
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,54685.021109,108.50202600992064,0.9404761904761905,10.113095238095237,7122.6668452380945,504,35.3408957524647
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,10591.760255,365.2331122413793,0.9655172413793104,6.103448275862069,14972.657586206897,29,2.0928888821784675
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,10953.24796,96.9313978761062,1.0,10.68141592920354,9169.71610619469,113,inf
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,110.553364,5.818598105263158,1.0,9.68421052631579,3388.287368421053,19,inf
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,36870.155091,485.13361961842105,1.0,8.263157894736842,2517.9715789473685,76,inf
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,4256.559309,86.86855732653062,1.0,12.142857142857142,2831.985102040816,49,inf
