Coin,sentiment_class,total_pnl,avg_pnl,win_rate,trade_count,volume
FARTCOIN,Extreme Fear,-138014.106207,-419.49576354711246,0.1580547112462006,329,580087.7
FARTCOIN,Extreme Greed,8392.770766,41.96385383,0.97,200,232641.83000000002
FARTCOIN,Fear,-10811.779569,-24.96946782678984,0.7043879907621247,433,597007.99
FARTCOIN,Greed,41367.714132,38.37450290538033,0.8181818181818182,1078,1933487.24
FARTCOIN,Neutral,-1621.812307,-13.079131508064515,0.7580645161290323,124,117599.83
FET,Extreme Greed,146.6026,24.433766666666667,1.0,6,2971.54
FET,Fear,17.0533,17.0533,1.0,1,482.19
FET,Greed,65.5095,3.639416666666667,0.8333333333333334,18,49642.75
FIL,Greed,-35.27859,-11.75953,0.0,3,9885.85
FTM,Extreme Greed,6945.377243,117.7182583559322,1.0,59,231242.03
FTM,Greed,-29.215368,-29.215368,0.0,1,782.83
FTM,Neutral,0.004343,0.004343,1.0,1,69.58
FTT,Extreme Fear,854.609006,65.7391543076923,1.0,13,2407.36
FTT,Extreme Greed,1600.851353,7.480613799065421,0.7663551401869159,214,60691.81
FTT,Fear,1253.444307,65.970753,1.0,19,5201.1
FTT,Greed,2282.892387,6.43068278028169,0.856338028169014,355,108447.56
FTT,Neutral,917.566714,26.21619182857143,1.0,35,9946.42
FXS,Extreme Greed,28.863186,2.623926,1.0,11,4689.34
FXS,Greed,-150.792898,-4.569481757575758,0.6363636363636364,33,51528.03
GALA,Extreme Greed,145.761452,13.25104109090909,0.7272727272727273,11,8253.94
GALA,Fear,18.788724,18.788724,1.0,1,536.17
GALA,Greed,6.486417,6.486417,1.0,1,215.59
GALA,Neutral,13.101431,6.5507155,1.0,2,430.99
GAS,Neutral,60.6139,60.6139,1.0,1,339.46
GMT,Extreme Fear,4.634472,4.634472,1.0,1,217.32
GMT,Extreme Greed,188.11700399999998,6.718464428571428,0.9642857142857143,28,24920.16
GMT,Fear,119.500423,11.9500423,1.0,10,4987.070000000001
GMT,Greed,4.930490000000001,0.7043557142857144,0.8571428571428571,7,2509.71
GMT,Neutral,11.447352,5.723676,1.0,2,432.48
GMX,Extreme Fear,622.41079,103.73513166666667,1.0,6,5460.37
GMX,Extreme Greed,61.855318,2.3790506923076924,1.0,26,15469.41
GMX,Neutral,15.167606,2.166800857142857,1.0,7,3764.21
GOAT,Extreme Fear,44.71729,44.71729,1.0,1,953.14
GOAT,Extreme Greed,7971.83595,135.11586355932204,1.0,59,189704.26
GOAT,Greed,110.86860000000001,55.43430000000001,1.0,2,1053.68
GOAT,Neutral,15.5193,15.5193,1.0,1,206.06
GRASS,Extreme Fear,1036.457046,17.869949068965518,0.9482758620689655,58,29873.99
GRASS,Extreme Greed,85.65644900000001,1.9467374772727275,0.7272727272727273,44,40785.95
GRASS,Fear,28.953272,4.136181714285714,1.0,7,3524.83
GRASS,Greed,81.550604,6.273123384615385,1.0,13,3612.4700000000003
GRASS,Neutral,20.655617999999997,6.885205999999999,0.6666666666666666,3,519.9
GRIFFAIN,Extreme Fear,-378.092427,-189.0462135,0.0,2,380.19
GRIFFAIN,Extreme Greed,4240.792641,19.453177252293578,1.0,218,151593.39
GRIFFAIN,Fear,1910.409221,26.90717212676056,0.9295774647887324,71,61404.520000000004
GRIFFAIN,Greed,1928.745973,18.369009266666666,1.0,105,64099.07
GRIFFAIN,Neutral,-609.7154129999999,-24.388616519999996,0.48,25,15429.88
HBAR,Extreme Greed,1770.23626,19.669291777777776,0.9111111111111111,90,33923.93
HBAR,Greed,130.418054,4.830298296296297,0.8518518518518519,27,2882.7400000000002
HBAR,Neutral,8.85375,8.85375,1.0,1,212.84
HPOS,Extreme Greed,-882.6288569999999,-38.37516769565217,0.6956521739130435,23,5161.71
HPOS,Greed,2744.068817,76.22413380555555,1.0,36,30514.54
HPOS,Neutral,117.89757,58.948785,1.0,2,2366.14
HYPE,Extreme Fear,482083.808909,101.25683867023734,0.8567527830287754,4761,15145180.55
HYPE,Extreme Greed,159686.556509,66.3977365941788,0.9700623700623701,2405,4833748.86
HYPE,Fear,840306.353176,62.07478416015365,0.8968013592376449,13537,31713308.17
HYPE,Greed,166307.640065,60.03885922924188,0.907942238267148,2770,5288577.71
HYPE,Neutral,300100.241102,35.14877501780276,0.8380182712579058,8538,13915000.51
HYPER,Greed,874.4737,30.15426551724138,1.0,29,59126.33
ILV,Extreme Greed,4767.672843,89.95609137735849,0.6981132075471698,53,89999.53
ILV,Greed,541.473982,19.3383565,0.9642857142857143,28,63103.0
ILV,Neutral,-0.04207,-0.04207,0.0,1,221.93
IMX,Extreme Greed,70.2345,3.3445,0.9523809523809523,21,1501.34
IMX,Greed,465.67249999999996,46.567249999999994,1.0,10,4044.09
IMX,Neutral,4.30904,4.30904,1.0,1,217.62
INIT,Greed,364.5007,24.300046666666667,1.0,15,24348.690000000002
INJ,Extreme Greed,2901.161874,35.816813259259256,0.9629629629629629,81,106440.17
INJ,Greed,3018.616524,131.24419669565216,1.0,23,68616.7
IO,Extreme Fear,0.07364,0.07364,1.0,1,221.73
IO,Extreme Greed,-188.251601,-6.9722815185185185,0.4444444444444444,27,25055.89
IO,Greed,-21747.847017,-233.84781738709677,0.3870967741935484,93,111314.86
IO,Neutral,42.11446,4.679384444444445,1.0,9,845.25
IOTA,Greed,-2.454844,-0.8182813333333333,0.0,3,6246.7300000000005
IP,Extreme Fear,311.5344,28.321309090909093,1.0,11,33684.67
IP,Fear,1774.5243839999998,10.082524909090909,0.9318181818181818,176,177308.73
IP,Neutral,957.22932,11.9653665,1.0,80,56004.79
JELLY,Extreme Fear,3218.978582,40.237232275000004,1.0,80,59897.76
JELLY,Extreme Greed,5384.218774999999,78.03215615942028,1.0,69,122898.5
JELLY,Fear,12382.990255,28.99997717798595,0.8501170960187353,427,360814.42
JELLY,Greed,10668.04374,91.17986102564102,1.0,117,258899.75
JELLY,Neutral,3539.484892,16.2361692293578,0.7981651376146789,218,251054.9
JTO,Extreme Fear,14.451904,14.451904,1.0,1,985.09
JTO,Fear,22.476,22.476,1.0,1,531.08
JTO,Greed,8487.932974,257.2100901212121,0.8787878787878788,33,101180.49
JTO,Neutral,-1116.809707,-30.184046135135134,0.7567567567567568,37,78934.53
JUP,Extreme Fear,17.45184,8.72592,1.0,2,982.28
JUP,Extreme Greed,2347.237471,22.56959106730769,0.9903846153846154,104,96868.4
JUP,Fear,-2824.07741,-80.68792599999999,0.9428571428571428,35,42536.04
JUP,Greed,43234.079594,270.2129974625,0.95,160,621386.33
JUP,Neutral,134.531822,26.9063644,1.0,5,2750.25
KAITO,Extreme Fear,5172.473377,82.10275201587302,0.9841269841269841,63,161113.05
KAITO,Fear,-14900.55358,-215.95005188405796,0.014492753623188406,69,229745.65
KAITO,Greed,113.068789,8.076342071428572,1.0,14,4671.45
KAITO,Neutral,879.870453,32.587794555555554,1.0,27,17513.33
LAYER,Fear,13189.0,1014.5384615384615,1.0,13,19500.0
LAYER,Neutral,7307.4351,110.71871363636363,0.7727272727272727,66,318391.6
LDO,Extreme Greed,168.892297,6.031867750000001,1.0,28,7382.76
LDO,Fear,36.630072,6.105011999999999,1.0,6,2434.62
LDO,Greed,15.493535999999999,3.0987071999999998,0.8,5,3702.46
LDO,Neutral,85.906066,10.73825825,1.0,8,3965.37
LINK,Extreme Greed,109.90836,1.6652781818181819,0.8939393939393939,66,11279.73
LINK,Fear,3813.926135,119.18519171875,0.84375,32,27446.31
LINK,Greed,487.77298,9.564176078431373,0.8431372549019608,51,174634.05
LINK,Neutral,189.49091900000002,8.613223590909092,1.0,22,8992.13
LISTA,Neutral,4.46974,4.46974,1.0,1,995.13
LOOM,Extreme Greed,215.057055,107.5285275,1.0,2,965.39
LTC,Extreme Greed,2422.714344,26.050691870967743,1.0,93,152992.44
LTC,Fear,3164.3138000000004,395.53922500000004,1.0,8,17236.260000000002
LTC,Greed,22.68381,2.83547625,1.0,8,386.81
LTC,Neutral,16.43157,5.47719,1.0,3,347.93
MANTA,Extreme Greed,1303.721216,26.07442432,0.82,50,33638.92
MANTA,Greed,179.92768999999998,44.981922499999996,1.0,4,4671.1900000000005
MATIC,Extreme Greed,915.560676,152.593446,1.0,6,20921.73
MATIC,Greed,-246.629659,-18.971512230769232,0.3076923076923077,13,95193.86
MAV,Neutral,0.0189,0.0189,1.0,1,10.53
MAVIA,Extreme Greed,1801.5562400000001,163.77784,1.0,11,28918.66
MAVIA,Fear,3204.974292,45.78534702857143,1.0,70,69967.65
MAVIA,Greed,1855.514424,27.28697682352941,1.0,68,29474.53
MAVIA,Neutral,1395.255089,16.22389638372093,1.0,86,56150.29
ME,Extreme Greed,24.280158,12.140079,1.0,2,863.4
ME,Fear,13858.127604000001,83.98865214545455,0.7818181818181819,165,70472.84
ME,Greed,5407.838932,225.32662216666665,1.0,24,55680.76
ME,Neutral,-3278.346756,-102.448336125,0.5,32,25846.62
