Coin,total_pnl,avg_pnl,win_rate,trade_count,volume,profit_factor
REQ,4.947336,0.3805643076923077,1.0,13,1141.29,inf
@20,4.738088,2.369044,1.0,2,50.0,inf
@117,4.631689,4.631689,1.0,1,4.69,inf
LISTA,4.46974,4.46974,1.0,1,995.13,inf
@116,1.722949,0.8614745,1.0,2,1.75,inf
@114,1.309077,1.309077,1.0,1,1.32,inf
@152,0.599998,0.006818159090909091,1.0,88,59831.5,inf
@3,0.462514,0.231257,1.0,2,33.65,inf
MAV,0.0189,0.0189,1.0,1,10.53,inf
@24,-0.002936,-0.002936,0.0,1,1.0,0.0
@16,-0.060429,-0.060429,0.0,1,25.56,0.0
@10,-0.063484,-0.063484,0.0,1,21.12,0.0
@29,-0.078374,-0.026124666666666668,0.0,3,16.19,0.0
@13,-0.12379,-0.12379,0.0,1,41.38,0.0
@26,-0.25801799999999997,-0.03685971428571428,0.0,7,21.44,0.0
@2,-0.907946,-0.907946,0.0,1,499.46,0.0
IOTA,-2.454844,-0.8182813333333333,0.0,3,6246.7300000000005,0.0
MERL,-3.17364,-3.17364,0.0,1,46.68,0.0
ENS,-7.121359999999999,-3.5606799999999996,0.0,2,10003.72,0.0
BNT,-17.60528,-2.51504,0.2857142857142857,7,2905.4,0.4489804030438458
TON,-18.09871,-0.9049355,0.2,20,26898.47,0.35525441692890564
@63,-20.663546,-20.663546,0.0,1,9.91,0.0
MNT,-21.057177,-7.0190589999999995,0.3333333333333333,3,680.6400000000001,0.004717731586582023
@95,-29.438061,-29.438061,0.0,1,45.67,0.0
FIL,-35.27859,-11.75953,0.0,3,9885.85,0.0
@49,-40.712216999999995,-13.570738999999998,0.0,3,459.27,0.0
@112,-52.114723999999995,-17.371574666666664,0.6666666666666666,3,348.8,0.34325413195398036
@9,-58.564889,-58.564889,0.0,1,91.55,0.0
BANANA,-81.48518800000001,-16.297037600000003,0.0,5,580.01,0.0
@4,-95.963977,-0.3662747213740458,0.33969465648854963,262,32305.149999999998,0.9516766186499908
FXS,-121.92971200000001,-2.7711298181818185,0.7272727272727273,44,56217.369999999995,0.6710524891611093
@124,-128.603876,-25.720775200000002,0.0,5,522.23,0.0
CANTO,-188.49813000000003,-37.69962600000001,0.0,5,9971.880000000001,0.0
@51,-330.876576,-110.292192,0.0,3,247.95999999999998,0.0
@147,-350.632694,-70.1265388,0.0,5,612.5600000000001,0.0
OM,-775.0843229999999,-27.681582964285713,0.8928571428571429,28,6569.59,0.1489148870825435
@83,-1087.633355,-135.954169375,0.0,8,171.71,0.0
CRV,-1249.722505,-20.487254180327866,0.7377049180327869,61,60359.96000000001,0.32071850003813623
ZEN,-1475.390707,-98.35938046666666,0.5333333333333333,15,18329.8,0.011397274859287054
STRK,-1517.376015,-48.94761338709677,0.6774193548387096,31,40663.06,0.05683330225446137
NIL,-3175.273635,-36.92178645348837,0.19767441860465115,86,239198.53,0.05063846168421019
@135,-5981.36399,-5981.36399,0.0,1,15.56,0.0
POPCAT,-7922.181871,-12.113427937308868,0.2599388379204893,654,407826.22,0.3867078593768177
S,-8644.845718,-74.52453205172414,0.31896551724137934,116,119245.98,0.24676288814082067
KAITO,-8735.140961,-50.49214428323699,0.6011560693641619,173,413043.48,0.579145599983713
PAXG,-18688.874329,-38.533761503092784,0.4268041237113402,485,1533012.52,0.03137089278815366
IO,-21893.910518,-168.4146962923077,0.4461538461538462,130,137437.73,0.021655924969943393
ADA,-28113.46197,-97.95631348432056,0.5435540069686411,287,615523.87,0.14847436317771598
FARTCOIN,-100687.213185,-46.528287054066546,0.705637707948244,2164,3460824.59,0.43626922624437314
TRUMP,-364824.908179,-380.42221916475495,0.6996871741397289,959,3895933.71,0.21855704878524898
